1,0.92857,0.86667,1,1,1.5,-1212.607,5.185, 200        6    1    1    0   28         -1.000,
2,0.73333,0.73333,0.92857,0.73333,4.5,-1183.316,5.213, 200        5    1    2    2   26         -1.000,
3,0.92857,0.86667,1,1,1.5,-1170.496,5.331, 200        6    1    1    0   28         -1.000,
4,0.93333,0.875,1,1,1,-1212.704,5.335, 200        7    0    1    0   28         -1.000,
5,0.92857,0.86667,1,1,1.5,-1169.708,5.9, 200        6    1    1    0   28         -1.000,
6,0.93333,0.875,1,1,1,-1158.442,5.637, 200        7    0    1    0   28         -1.000,
7,0.93333,0.875,1,1,1,-1130.441,5.468, 200        7    0    1    0   28         -1.000,
8,0.84615,0.73333,1,1,2.5,-1163.441,5.363, 200        5    1    2    0   28         -1.000,
9,0.92857,0.86667,1,1,1.5,-1192.271,5.251, 200        6    1    1    0   28         -1.000,
10,0.92857,0.86667,1,1,1.5,-1108.197,5.41, 200        6    1    1    0   28         -1.000,
Avg,0.90223,0.8425,0.99286,0.97333,1.75,-1170.162,5.409,200,        NaN
Std,0.06168,0.0547,0.02143,0.08,1.006,31.422,0.206,0,        NaN
